observationTime,rf_prediction,actual,ECMWF,xgb_predicted,ensemble_rf_pred
2025-06-02,6.180999999999996,5.4,9.406244,4.9824634,
2025-06-03,1.2459999999999996,0.0,1.868597,1.5543364,
2025-06-04,0.0579999999999999,0.3,0.052871466,0.46542153,
2025-06-05,1.4220000000000002,13.9,7.2416053,3.275463,
2025-06-06,1.077,0.9,1.9251404,1.554603,
2025-06-07,1.4300000000000004,1.0,1.0317385,1.7076999,
2025-06-08,5.578999999999999,4.3,6.4887643,5.315179,
2025-06-09,7.371,5.8,7.1291895,6.6534996,
2025-06-10,0.38,0.0,0.2647581,0.6814781,
2025-06-11,3.6070000000000007,2.4,4.211,1.9550747,
2025-06-12,7.046000000000001,4.0,6.240403,6.780289,
2025-06-13,1.2619999999999996,0.1,1.7607689,1.3164501,
2025-06-14,0.037,0.0,0.120495796,0.040759318,
2025-06-15,0.003,0.0,0.0,0.0,
2025-06-16,1.673,0.0,1.2163877,1.2838436,
2025-06-17,2.107,0.1,1.6976914,1.1837034,
2025-06-18,0.258,1.8,0.4693849,0.62118506,
2025-06-19,7.162000000000001,8.899999999999999,6.7105517,5.4072433,
2025-06-20,14.457999999999997,9.4,12.739732,13.611285,
2025-06-21,0.2399999999999998,0.0,0.066013336,0.2542428,
2025-06-22,0.152,2.1,0.56890106,0.5912737,
2025-06-23,1.382,0.9,2.8850322,1.8786124,
2025-06-24,4.566,12.6,5.2156453,5.1825337,
2025-06-25,2.043,4.5,3.1522465,2.7102873,
2025-06-26,0.6459999999999999,0.0,0.5501747,0.7503949,
2025-06-27,3.468000000000001,3.8,4.3440385,2.6065044,
2025-06-28,0.974,0.0,0.33340263,0.49292433,
2025-06-29,0.971,1.4,1.1078237,1.5112954,
2025-06-30,0.7530000000000002,0.0,0.69794846,1.1411009,
2025-07-01,0.088,0.0,0.009175539,0.33327025,
2025-07-02,0.362,0.0,0.0,0.3153208,
2025-07-03,0.3149999999999999,0.0,0.4999981,1.1939875,
2025-07-04,0.067,0.0,0.0077468157,1.0045905,
2025-07-05,0.948,0.0,1.0117278,0.7952183,
2025-07-06,0.4579999999999999,0.0,0.53942823,1.1853994,
2025-07-07,3.5779999999999985,1.0,3.4986632,2.9207287,
2025-07-08,6.2860000000000005,22.1,4.0236573,4.164719,
2025-07-09,30.934,37.8,45.809933,30.95346,
2025-07-10,30.083000000000013,7.899999999999999,30.617977,28.971245,
2025-07-11,1.7869999999999993,0.3,2.0193481,2.6833389,
2025-07-12,0.036,0.0,0.00178051,0.41510046,
2025-07-13,4.088000000000001,1.0,0.6858004,2.7639523,
