,time,dust,sia,pm2p5,pans,nmvoc,nh3,pm10
992,2020-09-19,0.128702,0.9112274,3.4220648,0.75862265,2.2377834,0.3966128,4.708237
993,2020-09-20,0.036695603,0.4302182,2.7882872,0.6750223,1.8156704,0.43667126,4.7313676
994,2020-09-21,0.25096813,2.2532003,6.2032294,1.1352096,4.9163694,1.1382376,7.890324
995,2020-09-22,0.41315305,5.767575,12.413138,1.8832976,7.2892003,1.3149892,15.295681
996,2020-09-23,0.6765814,5.115251,11.840439,1.8902696,6.7661424,1.0606596,15.440913
997,2020-09-24,0.5044084,4.7849383,10.203668,1.4356257,7.021919,0.8872733,14.418362
998,2020-09-25,0.6432687,4.9316597,10.936356,1.3352567,6.2416673,0.6366957,13.555873
999,2020-09-26,1.6062876,4.5391555,12.313915,0.8685806,4.95394,0.3953978,15.414292
1000,2020-09-27,10.600921,3.4332826,17.398989,0.6464003,4.0451703,0.3297534,22.167196
1001,2020-09-28,0.111127816,2.3724043,5.4412265,1.4161286,6.729838,0.41166234,6.511585
1002,2020-09-29,0.78045946,2.3758516,5.6543927,1.7127358,5.175163,0.5665217,6.526858
1003,2020-09-30,21.749727,3.2428138,19.004078,0.9996516,4.166927,0.40108967,36.590054
1004,2020-10-01,6.0358424,2.6778376,11.879695,0.87174135,3.8220577,0.27742535,14.633599
1005,2020-10-02,9.397387,4.155073,19.279337,0.96613854,4.9307795,0.16729324,20.44166
1006,2020-10-03,2.8045518,4.1730776,14.572425,1.5788665,6.825457,0.1462722,13.511439
1007,2020-10-04,1.6675534,4.258538,11.072166,1.1224566,5.563664,0.22333348,12.44569
1008,2020-10-05,3.9902124,2.7748451,10.262322,0.70789987,4.6269035,0.22010386,13.074798
1009,2020-10-06,1.1387146,2.1602812,6.8461566,1.2296437,5.6769643,0.41307434,7.265791
1010,2020-10-07,0.6070241,2.906263,7.310938,1.5196918,5.126017,0.49750817,7.4458504
1011,2020-10-08,0.08639068,4.775489,11.911586,1.7729803,7.709452,0.2453447,11.394061
1012,2020-10-09,0.12215815,3.2816017,9.65241,1.2251607,6.8387904,0.27595273,7.3078933
1013,2020-10-10,0.039925504,2.12047,6.702111,0.90655375,5.391233,0.22991304,5.047897
1014,2020-10-11,0.09989428,1.9101018,7.0002875,1.0278594,6.359382,0.088634856,4.931631
1015,2020-10-12,0.024828061,0.9439981,3.6659248,1.018519,4.8318753,0.12493666,3.7687988
1016,2020-10-13,0.15288217,0.6464938,2.8935502,1.012199,6.548837,0.0345087,3.384534
1017,2020-10-14,0.9307382,2.4126642,6.284588,0.98729485,6.8154836,0.11435022,8.782137
1018,2020-10-15,0.027883003,2.69038,6.249677,1.4063286,7.133301,0.21416706,6.344212
1019,2020-10-16,0.033490412,0.7287917,3.3539379,0.8522602,3.28689,0.15746073,3.095307
1020,2020-10-17,0.013544753,0.8144627,3.1535912,0.6935131,2.5023549,0.24331987,2.8023415
1021,2020-10-18,0.013415009,0.88177484,3.5218353,0.64818037,2.331432,0.17603861,3.225994
1022,2020-10-19,0.0029127633,0.37558758,2.7834873,0.7886197,1.761959,0.19793914,4.9167604
1023,2020-10-20,0.00467852,0.9449732,4.3265443,0.8644977,2.297722,0.25444528,6.3733497
1024,2020-10-21,0.3967,5.815864,14.255607,1.5449004,8.974139,0.106309235,12.74616
1025,2020-10-22,1.436813,4.541654,12.763074,1.3381151,7.7096963,0.30616406,12.205734
1026,2020-10-23,1.379831,3.9410326,11.061325,1.1054696,7.0840793,0.19304258,10.77221
1027,2020-10-24,0.11667348,2.276386,6.627744,1.0083336,5.040015,0.13943745,5.708704
1028,2020-10-25,0.09298857,3.6078863,10.364845,1.0533113,5.8552017,0.22095747,8.409551
1029,2020-10-26,1.3145338,5.29125,12.226373,1.2768103,7.535501,0.14706667,13.701542
1030,2020-10-27,1.4338766,7.057834,16.32052,1.391328,7.415749,0.10560652,17.320263
1031,2020-10-28,0.6919861,7.5800304,17.55033,1.3840529,9.057624,0.07556216,16.587124
1032,2020-10-29,0.32874152,7.529243,16.531336,1.2419829,9.223575,0.0783862,17.114836
1033,2020-10-30,0.0021703825,2.1685755,8.638625,1.0576438,7.1043887,0.07180258,9.628297
1034,2020-10-31,0.055184618,1.6659422,6.0955825,1.1881671,7.6786294,0.059939336,5.1943564
1035,2020-11-01,0.613083,2.4698894,7.75725,1.0439016,5.4416595,0.030407706,6.677698
1036,2020-11-02,0.5164833,3.73548,9.785529,1.1344862,5.1968927,0.09032413,7.5916023
1037,2020-11-03,0.09302088,2.2469485,9.201109,0.721178,6.116831,0.11198302,7.505121
1038,2020-11-04,0.027590645,1.916307,6.733143,0.7437518,4.2466273,0.09832964,8.180558
1039,2020-11-05,0.0045111454,1.0336536,4.912294,0.63127816,3.274398,0.104345955,7.799068
1040,2020-11-06,0.030609138,0.5603512,3.9108152,0.35246906,1.9970369,0.11846026,4.9763365
1041,2020-11-07,0.2658312,1.5067114,5.413355,0.2566686,2.3692417,0.04640476,4.7190256
1042,2020-11-08,0.064974144,1.9164028,6.1534047,0.5450454,5.058279,0.06631408,5.9432807
1043,2020-11-09,0.012058205,0.41245678,3.673318,0.6593687,1.208792,0.10243809,5.2711825
1044,2020-11-10,0.042732865,1.6124977,6.8895874,0.59968483,3.3142679,0.05537711,4.5580444
1045,2020-11-11,0.051015083,2.8710997,9.427947,0.65895253,3.5114977,0.09066829,5.9476056
1046,2020-11-12,0.15411006,4.439463,9.336799,0.71139497,5.989573,0.1868624,9.6143675
1047,2020-11-13,0.18710214,5.345266,10.737854,0.82055354,7.4273276,0.03196497,11.021819
1048,2020-11-14,0.27345952,4.3885894,11.908139,1.1507515,13.081256,0.013419002,10.561987
1049,2020-11-15,0.31439677,6.1424527,13.10759,1.1800534,10.380676,0.021537153,11.015912
1050,2020-11-16,0.46916625,5.551166,12.370769,1.0852234,11.101161,0.035676662,12.048996
1051,2020-11-17,0.3710599,4.592814,13.845744,0.9244268,10.872676,0.034403604,11.1774645
1052,2020-11-18,0.011248703,3.7816887,11.084294,0.44133332,8.643561,0.027038908,7.9110336
